"","filename","sentences","wordtypes","swordtypes","lextypes","slextypes","wordtokens","swordtokens","lextokens","slextokens","ld","ls1","ls2","vs1","vs2","cvs1","ndw","ndwz","ndwerz","ndwesz","ttr","msttr","cttr","rttr","logttr","uber","lv","vv1","svv1","cvv1","vv2","nv","adjv","advv","modv"
"184","Hatch351",1474,771,439,83,57,19091,16184,5402,5295,0.28,0.98,0.57,0.02,0.28,0.37,771,17,34.2,26.5,0.04,0.53,3.95,5.58,0.67,13.15,0.02,0.02,0.37,0.43,0,0.01,0,0,0.01
"185","Hillary Clinton - Womens Rights Human Rights",2441,1103,661,109,73,31608,26934,9216,9035,0.29,0.98,0.6,0.02,0.32,0.4,1103,17,31.8,26.6,0.03,0.53,4.39,6.2,0.68,13.9,0.01,0.03,0.66,0.58,0,0.01,0,0,0
"186","Hubert Humphrey - 1948 DNC",1334,697,410,78,53,17278,14682,4885,4791,0.28,0.98,0.59,0.04,0.5,0.5,697,17,31.7,26.9,0.04,0.52,3.75,5.3,0.67,12.88,0.02,0.05,0.92,0.68,0,0.01,0,0.01,0.01
"187","Huckabee261",2673,1071,603,90,54,34639,29286,9732,9496,0.28,0.98,0.56,0.01,0.13,0.26,1071,17,32.2,26.5,0.03,0.53,4.07,5.75,0.67,13.65,0.01,0.01,0.26,0.36,0,0,0,0,0
"188","Huckabee266",2407,991,574,80,53,31188,26435,8689,8558,0.28,0.98,0.58,0.01,0.13,0.26,991,17,33,25.6,0.03,0.52,3.97,5.61,0.67,13.48,0.01,0.01,0.18,0.3,0,0.01,0,0,0
"189","Huckabee271",2273,951,540,88,59,29468,24872,8336,8129,0.28,0.98,0.57,0.01,0.16,0.29,951,17,32.2,26.1,0.03,0.53,3.92,5.54,0.67,13.4,0.01,0.01,0.19,0.31,0,0.01,0,0,0
"190","Huckabee277",1900,831,464,79,48,24592,20855,6835,6683,0.28,0.98,0.56,0.01,0.12,0.25,831,17,34.9,26.9,0.03,0.53,3.75,5.3,0.66,13.1,0.01,0.01,0.17,0.29,0,0.01,0,0,0
"191","Huckabee285",1705,817,447,87,50,22089,18735,6228,6063,0.28,0.97,0.55,0.02,0.26,0.36,817,17,34.7,27.3,0.04,0.53,3.89,5.5,0.67,13.18,0.01,0.02,0.39,0.44,0,0.01,0,0,0.01
"192","Huckabee293",1008,679,396,57,37,13055,11028,3660,3583,0.28,0.98,0.58,0.02,0.23,0.34,679,17,31.7,26.2,0.05,0.53,4.2,5.94,0.69,13.19,0.02,0.02,0.23,0.34,0,0.01,0,0,0
"193","Huckabee308",1321,695,400,76,47,17109,14539,4901,4764,0.29,0.97,0.58,0.02,0.17,0.3,695,17,33.6,27,0.04,0.53,3.76,5.31,0.67,12.88,0.02,0.02,0.21,0.32,0,0.01,0,0,0.01
"194","Huckabee58",1464,722,422,58,40,18951,16050,5305,5176,0.28,0.98,0.58,0.02,0.15,0.27,722,17,34.6,27.2,0.04,0.53,3.71,5.24,0.67,12.89,0.01,0.02,0.15,0.27,0,0.01,0,0,0
"195","Huckabee65",1755,837,489,80,50,22734,19289,6340,6183,0.28,0.98,0.58,0.02,0.2,0.31,837,17,32.7,26.8,0.04,0.53,3.93,5.55,0.67,13.24,0.01,0.02,0.27,0.36,0,0.01,0,0,0.01
"196","Huckabee73",1217,774,489,71,49,15767,13410,4426,4340,0.28,0.98,0.63,0.03,0.39,0.44,774,17,33,25.9,0.05,0.53,4.36,6.16,0.69,13.46,0.02,0.03,0.44,0.47,0,0.01,0,0,0
"197","Huckabee79",1664,853,516,79,53,21542,18271,6017,5878,0.28,0.98,0.6,0.02,0.22,0.33,853,17,32.4,25.8,0.04,0.53,4.11,5.81,0.68,13.39,0.01,0.02,0.38,0.44,0,0.01,0,0,0
"198","Huckabee81",2340,1088,668,81,52,30327,25725,8459,8284,0.28,0.98,0.61,0.01,0.13,0.26,1088,17,32.5,27.2,0.04,0.53,4.42,6.25,0.68,13.9,0.01,0.01,0.24,0.34,0,0,0,0,0
"199","Huckabee88",1981,808,447,76,46,25657,21713,7195,7013,0.28,0.97,0.55,0.01,0.16,0.29,808,17,34.5,26,0.03,0.53,3.57,5.04,0.66,12.95,0.01,0.01,0.19,0.31,0,0.01,0,0,0
"200","Huckaebee84",3228,1080,620,85,55,41826,35328,11564,11352,0.28,0.98,0.57,0.01,0.1,0.22,1080,17,33.4,25.8,0.03,0.53,3.73,5.28,0.66,13.45,0.01,0.01,0.12,0.24,0,0,0,0,0
"201","Huey P. Long - Every Man A King",3984,1139,700,91,59,51633,43605,14354,14043,0.28,0.98,0.61,0.01,0.11,0.23,1139,17,31.7,26.4,0.02,0.53,3.54,5.01,0.65,13.41,0.01,0.01,0.16,0.28,0,0,0,0,0
"202","Huey P. Long - Share Our Wealth",7030,1905,1212,128,86,91087,77078,25601,25149,0.28,0.98,0.64,0.01,0.16,0.28,1905,17,33.9,26.5,0.02,0.53,4.46,6.31,0.66,14.64,0,0.01,0.23,0.34,0,0,0,0,0
"203","Hunter278",1315,767,453,64,42,17019,14557,4868,4774,0.29,0.98,0.59,0.02,0.19,0.31,767,17,33.2,25.6,0.05,0.53,4.16,5.88,0.68,13.3,0.01,0.02,0.32,0.4,0,0.01,0,0,0
"204","Hunter286",710,521,313,59,41,9193,7789,2622,2560,0.29,0.98,0.6,0.04,0.43,0.46,521,17,33,25.8,0.06,0.52,3.84,5.43,0.69,12.6,0.02,0.05,0.6,0.55,0,0.01,0,0,0.01
"205","Hunter294",290,361,233,35,31,3746,3200,1083,1069,0.29,0.99,0.65,0.09,1.03,0.72,361,17,33.5,25.1,0.1,0.52,4.17,5.9,0.72,12.57,0.03,0.09,1.03,0.72,0.01,0.02,0,0,0
"206","Hunter301",873,592,351,63,43,11287,9632,3173,3095,0.28,0.98,0.59,0.03,0.26,0.36,592,17,32.9,26.4,0.05,0.53,3.94,5.57,0.68,12.83,0.02,0.03,0.44,0.47,0,0.01,0,0,0.01
"207","Huntsman127",1216,695,405,58,40,15737,13306,4448,4345,0.28,0.98,0.58,0.02,0.3,0.39,695,17,31.2,27.6,0.04,0.52,3.92,5.54,0.68,13,0.01,0.02,0.34,0.42,0,0.01,0,0,0
"208","Huntsman133",1859,803,438,80,50,24054,20349,6736,6578,0.28,0.98,0.55,0.01,0.17,0.3,803,17,31.5,26.5,0.03,0.53,3.66,5.18,0.66,13,0.01,0.02,0.24,0.35,0,0.01,0,0,0
"209","Huntsman140",1967,915,497,96,57,25468,21572,7314,7121,0.29,0.97,0.54,0.02,0.21,0.32,915,17,32.7,24.3,0.04,0.52,4.05,5.73,0.67,13.44,0.01,0.02,0.39,0.44,0,0.01,0,0,0
"210","Huntsman154",1841,832,461,81,51,23817,20220,6737,6530,0.28,0.97,0.55,0.01,0.17,0.29,832,17,34.4,26.1,0.03,0.53,3.81,5.39,0.67,13.15,0.01,0.02,0.27,0.37,0,0.01,0,0,0
"211","Huntsman162",1043,629,353,67,47,13472,11480,3779,3678,0.28,0.97,0.56,0.03,0.28,0.38,629,17,33.7,25.6,0.05,0.52,3.83,5.42,0.68,12.81,0.02,0.03,0.39,0.44,0,0.01,0,0,0.01
"212","Huntsman170",1774,834,472,81,52,22972,19566,6456,6305,0.28,0.98,0.57,0.02,0.19,0.31,834,17,34.2,26,0.04,0.53,3.89,5.5,0.67,13.21,0.01,0.02,0.26,0.36,0,0.01,0,0,0.01
"213","Huntsman185",828,556,337,55,37,10712,9075,2984,2910,0.28,0.98,0.61,0.03,0.31,0.4,556,17,33.8,25.2,0.05,0.52,3.8,5.37,0.68,12.64,0.02,0.03,0.38,0.43,0,0.01,0,0,0.01
"214","Huntsman193",1395,812,460,75,45,18066,15301,5191,5055,0.29,0.97,0.57,0.02,0.2,0.32,812,17,31.4,27.5,0.04,0.52,4.27,6.04,0.68,13.45,0.01,0.02,0.2,0.32,0,0.01,0,0,0.01
"215","Huntsman202",1471,759,441,69,44,19054,16210,5375,5260,0.28,0.98,0.58,0.02,0.27,0.37,759,17,32.9,26.7,0.04,0.52,3.89,5.5,0.67,13.09,0.01,0.02,0.4,0.45,0,0.01,0,0,0
"216","Huntsman210",1711,836,484,74,47,22157,18755,6224,6086,0.28,0.98,0.58,0.02,0.24,0.35,836,17,31.7,26.3,0.04,0.53,3.97,5.62,0.67,13.27,0.01,0.02,0.4,0.45,0,0.01,0,0,0
"217","Huntsman218",1640,732,396,73,44,21217,18004,5976,5779,0.28,0.97,0.54,0.02,0.23,0.34,732,17,34,26.3,0.03,0.53,3.55,5.03,0.66,12.8,0.01,0.02,0.35,0.42,0,0.01,0,0,0
"218","Jesse Jackson - 1984 DNC",5061,1829,1176,156,106,65421,56241,18633,18174,0.28,0.98,0.64,0.01,0.35,0.42,1829,17,33.3,26.7,0.03,0.53,5.06,7.15,0.68,14.93,0.01,0.02,0.49,0.5,0,0,0,0,0
